NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,154128.0,30625.0,184753.0
Alagoas,668348.0,130453.0,798801.0
Amapá,138602.0,35771.0,174373.0
Amazonas,776423.0,149479.0,925902.0
Bahia,2644938.0,655358.0,3300296.0
Ceará,1630636.0,404415.0,2035051.0
Distrito Federal,387804.0,98499.0,486303.0
Espírito Santo,559179.0,140823.0,700002.0
Goiás,971586.0,272568.0,1244154.0
Maranhão,1422111.0,316471.0,1738582.0
Mato Grosso,528641.0,146783.0,675424.0
Mato Grosso do Sul,426649.0,94650.0,521299.0
Minas Gerais,3274223.0,846281.0,4120504.0
Paraná,1702673.0,469272.0,2171945.0
Paraíba,714187.0,155331.0,869518.0
Pará,1563114.0,368320.0,1931434.0
Pernambuco,1563384.0,437823.0,2001207.0
Piauí,628299.0,181772.0,810071.0
Rio Grande do Norte,567843.0,158223.0,726066.0
Rio Grande do Sul,1643944.0,440978.0,2084922.0
Rio de Janeiro,2327233.0,642953.0,2970186.0
Rondônia,302891.0,58633.0,361524.0
Roraima,83635.0,16835.0,100470.0
Santa Catarina,930379.0,238408.0,1168787.0
Sergipe,381696.0,87062.0,468758.0
São Paulo,6073250.0,1723514.0,7796764.0
Tocantins,280827.0,70875.0,351702.0